epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,186.616,1.10644,3.65085,0.54624,1.64565,1.22587,0.01083,0.92857,0.47832,0.21002,0.00417,0.35714,0.15822,0.04635,1.81351,8.02657,0.58742,2.95916,1.93807,0.000490762,0.000490762,0.000490762
61,189.734,1.00692,3.04923,0.2897,1.21699,1.02719,0.01083,0.92857,0.47832,0.21002,0.00417,0.35714,0.15822,0.04635,1.81351,8.02657,0.58742,2.95916,1.93807,0.0004872,0.0004872,0.0004872
62,192.719,0.93376,2.54226,0.342,1.15591,1.05509,0.01083,0.92857,0.47832,0.21002,0.00417,0.35714,0.15822,0.04635,1.81351,8.02657,0.58742,2.95916,1.93807,0.000483242,0.000483242,0.000483242
63,195.758,0.85616,2.26559,0.24925,1.20665,1.04991,0.01083,0.92857,0.38409,0.17748,0.005,0.42857,0.17285,0.04726,1.91059,7.92581,0.59411,3.06113,2.03823,0.000478888,0.000478888,0.000478888
64,198.758,0.8759,3.89469,0.36002,1.34636,1.13405,0.01083,0.92857,0.38409,0.17748,0.005,0.42857,0.17285,0.04726,1.91059,7.92581,0.59411,3.06113,2.03823,0.000474138,0.000474138,0.000474138
65,201.845,1.20516,3.82303,0.32224,1.3975,1.27179,0.01083,0.92857,0.38409,0.17748,0.005,0.42857,0.17285,0.04726,1.91059,7.92581,0.59411,3.06113,2.03823,0.000468992,0.000468992,0.000468992
66,204.869,0.94257,2.50737,0.46216,1.30934,1.1419,0.01083,0.92857,0.35492,0.13542,0.005,0.42857,0.18459,0.05434,2.00909,7.9644,0.58898,3.10398,2.10343,0.00046345,0.00046345,0.00046345
67,207.933,0.81179,2.34148,0.28423,1.05037,1.028,0.01083,0.92857,0.35492,0.13542,0.005,0.42857,0.18459,0.05434,2.00909,7.9644,0.58898,3.10398,2.10343,0.000457512,0.000457512,0.000457512
68,210.992,0.8523,3.72886,0.23261,1.73264,1.27228,0.01083,0.92857,0.35492,0.13542,0.005,0.42857,0.18459,0.05434,2.00909,7.9644,0.58898,3.10398,2.10343,0.000451178,0.000451178,0.000451178
69,214.074,0.79121,2.91798,0.33001,1.18096,0.92007,0.01,0.85714,0.331,0.12541,0.00417,0.35714,0.14297,0.03947,1.96406,7.80493,0.57764,3.18183,2.10978,0.000444448,0.000444448,0.000444448
70,217.156,1.02838,2.97128,0.39871,1.55062,1.10864,0.01,0.85714,0.331,0.12541,0.00417,0.35714,0.14297,0.03947,1.96406,7.80493,0.57764,3.18183,2.10978,0.000437322,0.000437322,0.000437322
71,220.298,0.88837,3.08729,0.2792,1.39118,1.03277,0.01,0.85714,0.331,0.12541,0.00417,0.35714,0.14297,0.03947,1.96406,7.80493,0.57764,3.18183,2.10978,0.0004298,0.0004298,0.0004298
72,223.305,0.96675,2.25217,0.3083,1.02308,1.04208,0.42382,0.42857,0.34397,0.12648,0.21191,0.21429,0.13353,0.03355,1.9462,7.6999,0.57501,3.07581,2.05107,0.000421882,0.000421882,0.000421882
73,226.304,0.971,2.13483,0.31745,1.1789,1.05759,0.42382,0.42857,0.34397,0.12648,0.21191,0.21429,0.13353,0.03355,1.9462,7.6999,0.57501,3.07581,2.05107,0.000413568,0.000413568,0.000413568
74,229.278,1.12355,2.59896,0.28918,1.41236,1.19293,0.42382,0.42857,0.34397,0.12648,0.21191,0.21429,0.13353,0.03355,1.9462,7.6999,0.57501,3.07581,2.05107,0.000404858,0.000404858,0.000404858
75,232.46,0.63734,1.70927,0.23115,1.16452,0.97365,0.77727,0.25324,0.39688,0.17169,0.3318,0.11038,0.11705,0.01983,1.95346,7.78334,0.5675,3.04733,2.04472,0.000395752,0.000395752,0.000395752
76,235.437,0.81578,4.2394,0.30773,1.25706,1.18383,0.77727,0.25324,0.39688,0.17169,0.3318,0.11038,0.11705,0.01983,1.95346,7.78334,0.5675,3.04733,2.04472,0.00038625,0.00038625,0.00038625
77,238.51,0.83548,1.69626,0.30142,1.00979,0.89178,0.77727,0.25324,0.39688,0.17169,0.3318,0.11038,0.11705,0.01983,1.95346,7.78334,0.5675,3.04733,2.04472,0.000376352,0.000376352,0.000376352
78,241.588,0.8126,2.02258,0.29309,1.15756,1.01849,0.79442,0.21429,0.42025,0.19757,0.55686,0.14286,0.14436,0.03249,2.05328,7.70275,0.55442,2.97455,2.03178,0.000366058,0.000366058,0.000366058
79,244.646,0.90142,2.76749,0.29327,1.21574,1.14567,0.79442,0.21429,0.42025,0.19757,0.55686,0.14286,0.14436,0.03249,2.05328,7.70275,0.55442,2.97455,2.03178,0.000355368,0.000355368,0.000355368
80,247.644,0.94245,2.57467,0.2629,1.16329,1.0683,0.79442,0.21429,0.42025,0.19757,0.55686,0.14286,0.14436,0.03249,2.05328,7.70275,0.55442,2.97455,2.03178,0.000344282,0.000344282,0.000344282
81,250.835,0.62217,1.76272,0.24935,0.94807,0.9111,1,0.27059,0.42596,0.2358,0.29962,0.07143,0.08797,0.01861,2.02635,7.763,0.54861,2.98247,2.03713,0.0003328,0.0003328,0.0003328
82,253.818,0.72124,2.27729,0.309,1.05943,1.0478,1,0.27059,0.42596,0.2358,0.29962,0.07143,0.08797,0.01861,2.02635,7.763,0.54861,2.98247,2.03713,0.000320922,0.000320922,0.000320922
83,256.9,0.81638,2.60862,0.33208,1.12417,0.99731,1,0.27059,0.42596,0.2358,0.29962,0.07143,0.08797,0.01861,2.02635,7.763,0.54861,2.98247,2.03713,0.000308648,0.000308648,0.000308648
84,259.904,0.70307,2.58618,0.29043,1.08207,0.94306,1,0.28506,0.44116,0.2469,0.56798,0.14286,0.15249,0.0328,1.87915,7.64023,0.5515,2.92866,2.04283,0.000295978,0.000295978,0.000295978
85,262.959,0.72994,2.19213,0.27405,0.98299,0.99988,1,0.28506,0.44116,0.2469,0.56798,0.14286,0.15249,0.0328,1.87915,7.64023,0.5515,2.92866,2.04283,0.000282912,0.000282912,0.000282912
86,266.025,0.80088,2.3162,0.32209,1.30057,0.96815,1,0.28506,0.44116,0.2469,0.56798,0.14286,0.15249,0.0328,1.87915,7.64023,0.5515,2.92866,2.04283,0.00026945,0.00026945,0.00026945
87,269.095,0.68757,2.32195,0.26777,1.05222,0.96323,1,0.28506,0.44116,0.2469,0.56798,0.14286,0.15249,0.0328,1.87915,7.64023,0.5515,2.92866,2.04283,0.000255592,0.000255592,0.000255592
88,272.212,0.59813,1.64592,0.26284,1.11257,1.00625,1,0.33014,0.47201,0.27091,0.52745,0.16246,0.17853,0.03851,1.8014,7.47545,0.54414,2.853,1.98217,0.000241338,0.000241338,0.000241338
89,275.181,1.19405,5.26482,0.30072,1.8401,1.30197,1,0.33014,0.47201,0.27091,0.52745,0.16246,0.17853,0.03851,1.8014,7.47545,0.54414,2.853,1.98217,0.000226688,0.000226688,0.000226688
90,278.224,0.82362,3.47908,0.29271,1.20281,1.00801,1,0.33014,0.47201,0.27091,0.52745,0.16246,0.17853,0.03851,1.8014,7.47545,0.54414,2.853,1.98217,0.000211642,0.000211642,0.000211642
91,281.369,0.49641,1.2783,0.21357,1.38801,0.7827,1,0.33014,0.47201,0.27091,0.52745,0.16246,0.17853,0.03851,1.8014,7.47545,0.54414,2.853,1.98217,0.0001962,0.0001962,0.0001962
92,284.411,0.70614,1.88474,0.2742,1.54712,0.861,0.84027,0.37794,0.47067,0.25413,0.47673,0.14286,0.12392,0.04484,1.79204,7.37297,0.53972,2.74006,1.95127,0.000180362,0.000180362,0.000180362
93,287.42,0.52682,1.34226,0.24108,1.25594,0.92879,0.84027,0.37794,0.47067,0.25413,0.47673,0.14286,0.12392,0.04484,1.79204,7.37297,0.53972,2.74006,1.95127,0.000164128,0.000164128,0.000164128
94,290.388,0.53133,1.16974,0.23549,1.16036,0.86119,0.84027,0.37794,0.47067,0.25413,0.47673,0.14286,0.12392,0.04484,1.79204,7.37297,0.53972,2.74006,1.95127,0.000147498,0.000147498,0.000147498
95,293.436,0.64473,1.43292,0.22691,1.24006,0.9453,0.84027,0.37794,0.47067,0.25413,0.47673,0.14286,0.12392,0.04484,1.79204,7.37297,0.53972,2.74006,1.95127,0.000130472,0.000130472,0.000130472
96,296.473,0.57571,1.48765,0.23853,1.29374,0.84333,0.84542,0.39341,0.47707,0.27553,0.41774,0.14286,0.13482,0.05149,1.78741,7.34598,0.53877,2.67246,1.88974,0.00011305,0.00011305,0.00011305
97,299.476,0.8461,1.85617,0.29151,1.58498,1.02465,0.84542,0.39341,0.47707,0.27553,0.41774,0.14286,0.13482,0.05149,1.78741,7.34598,0.53877,2.67246,1.88974,9.5232e-05,9.5232e-05,9.5232e-05
98,302.486,0.50962,1.0626,0.19678,1.22056,0.8294,0.84542,0.39341,0.47707,0.27553,0.41774,0.14286,0.13482,0.05149,1.78741,7.34598,0.53877,2.67246,1.88974,7.7018e-05,7.7018e-05,7.7018e-05
99,305.524,0.61969,1.20761,0.23114,1.26392,0.85723,0.84542,0.39341,0.47707,0.27553,0.41774,0.14286,0.13482,0.05149,1.78741,7.34598,0.53877,2.67246,1.88974,5.8408e-05,5.8408e-05,5.8408e-05
100,308.529,0.60855,1.15174,0.23336,1.27028,0.9709,0.85032,0.40809,0.49368,0.31376,0.48225,0.21429,0.20275,0.07401,1.74905,7.30757,0.53508,2.56114,1.82831,3.9402e-05,3.9402e-05,3.9402e-05
